time_index,G0_min,G0_max,absG0_min,absG0_mean,absG0_median,absG0_1pct,absG0_5pct,count_absG0_lt_1e_2,count_absG0_lt_1e_3,count_absG0_lt_1e_4,count_absG0_lt_1e_5
0,0.009317005591433863,0.009317005591433863,0.009317005591433863,0.009317005591433863,0.009317005591433863,0.009317005591433863,0.009317005591433863,100,0,0,0
1,0.0024514583168639414,0.011037418740217464,0.0024514583168639414,0.006587450511683056,0.0065466094894060245,0.002828843297380204,0.003906402807301828,95,0,0,0
2,0.00032510440151642395,0.010895415494194982,0.00032510440151642395,0.005123286527090713,0.005054062657214531,0.0006206810892811024,0.0015810370835850685,96,2,0,0
3,0.0001853998778728605,0.010644768193613652,0.0001853998778728605,0.0044452435324238565,0.004488648599049461,0.0009666945162997101,0.0015162438271235687,99,2,0,0
4,0.00019366618162247606,0.010130876361346686,0.00019366618162247606,0.004139124035635972,0.004120698158426084,0.0005046558071041907,0.0009709876966485315,99,6,0,0
5,-0.0006579330565648078,0.011706948571227976,0.00013467468794847726,0.003425946233525407,0.003407313860428751,0.00022467183613432252,0.0006556374473062371,99,10,0,0
6,-0.0027533815512452153,0.009246117974744783,7.028830998812019e-05,0.002987679117141052,0.002365425351956607,0.0002323084366650849,0.00032319318291484933,100,13,1,0
7,-0.0024053081865898496,0.007876255843490387,2.598528824748758e-05,0.002496111641346932,0.0020704817303262846,3.989260161194275e-05,0.0001574218398440644,100,21,4,0
8,-0.0038128672506428374,0.009174701309441369,1.9386001423316035e-05,0.0024789018245397884,0.0020702218721968813,4.1484558349790256e-05,0.00019137873112222566,100,26,3,0
9,-0.004070705717930001,0.00748408015045135,0.00011906839698028193,0.002454234248156438,0.0019360419724551159,0.00012617075150505363,0.0002826444934950684,100,26,0,0
10,-0.002401881068442996,0.010649886923056018,9.009112115987428e-06,0.0027114462016955975,0.0022956866973971035,2.60306154031148e-05,0.00022027506178844554,99,29,3,1
11,-0.0034192869640720658,0.008718849737008955,4.7789068972042825e-05,0.002366374659138857,0.0019533461868763147,8.674592082085403e-05,0.0001366363172588106,100,29,2,0
12,-0.0037146811361354337,0.01049493926367856,6.995416046506886e-05,0.0021272748011442,0.0017721299348949227,0.00011946684670879392,0.00025433070361658707,99,27,1,0
13,-0.0035078620818773665,0.007830155536450084,8.822138158837145e-06,0.0020767482274727843,0.0015918940154431849,2.8829911308282385e-05,7.888776777841416e-05,100,36,7,1
14,-0.004446406933247549,0.0075568111833989315,1.000222193792144e-06,0.001787077049565481,0.0013641054933113683,8.933273706475676e-06,9.182987617860766e-05,100,36,6,2
15,-0.003893018983264107,0.006159474541465815,3.6251024321254377e-06,0.0018416040298391701,0.0014112249880573469,5.963350170172243e-06,5.165794950432595e-05,100,35,8,3
16,-0.004991709986085807,0.006428750910964426,7.998152392829638e-06,0.0017365222703944845,0.0014038608223814197,8.468575579726495e-05,0.00013929491207247124,100,37,2,1
17,-0.004184734570919807,0.0078044087308470345,4.096930345381944e-05,0.0018217390052245577,0.0015053801686626678,7.35352744662504e-05,0.00011874952240859965,100,38,3,0
18,-0.004554543128517552,0.00829810627174446,3.9918960912932455e-05,0.0019640326678146834,0.0016864405885105294,4.070400070329411e-05,0.00029345079976029613,100,35,2,0
19,-0.003951216410862712,0.005875456809899898,7.279306210411507e-05,0.001879524225601332,0.0015302279254585938,9.563127666200267e-05,0.0002045099199464967,100,37,2,0
20,-0.0055320814393706175,0.008104294359907449,3.542906188702677e-07,0.0019995907133693305,0.0016513709383336739,6.234446473536992e-06,0.00020278950788577555,100,34,2,2
21,-0.004964597148706312,0.0060379568765450975,1.7852622782588146e-06,0.001741613360185086,0.0016961168808095617,7.230763383715144e-06,0.00016641657106553355,100,37,3,2
22,-0.004353594800053817,0.008223499026681319,2.0748959249861088e-05,0.0019097714764747344,0.0015424522174250777,3.8907915994923214e-05,0.00011076352625069841,100,37,5,0
23,-0.004506741770340328,0.005776941922682022,3.671604552113461e-06,0.0019413712109715914,0.0016515003269219064,5.1139249860209237e-05,9.939565529467205e-05,100,30,5,1
24,-0.005378983339754312,0.006593820017543162,1.8634889645680053e-05,0.0019667320683973313,0.0015869111722553453,2.5529105784257987e-05,9.671108160634184e-05,100,32,6,0
