tau,G_mean,G_std,G_min,G_max,pct_neg,pct_lt001,pct_lt005
1.0,0.08200115493191844,0.0028548966625158104,0.07529269364444013,0.08797287471435355,0.0,0.0,0.0
2.0,0.12921933575708544,0.002320435397613178,0.12147271644546292,0.1329515617522019,0.0,0.0,0.0
3.0,0.18590987283888777,0.003040937443346248,0.17541568580001105,0.19155499923443153,0.0,0.0,0.0
4.0,0.22479538365871043,0.0029502204913117594,0.214638245819746,0.23046667430184586,0.0,0.0,0.0
5.0,0.24463664328148044,0.0026018664076358855,0.23572200850456704,0.24963958666255504,0.0,0.0,0.0
6.0,0.25190325874184843,0.0022358827516508156,0.24427752789675283,0.2561609630610327,0.0,0.0,0.0
7.0,0.2522732705390507,0.0019133974327720379,0.24577172457159896,0.25587674211463185,0.0,0.0,0.0
8.0,0.24931475464619915,0.0016409507852197906,0.24375436435090325,0.25237752572626,0.0,0.0,0.0
9.0,0.24499903350768668,0.0014122610126382472,0.24022244222698863,0.24762002204301387,0.0,0.0,0.0
10.0,0.24033501073691574,0.00121964792590084,0.23621430046679026,0.24259365574945913,0.0,0.0,0.0
11.0,0.2358025600401636,0.0010565400867809176,0.2322344281430891,0.23776171558535403,0.0,0.0,0.0
12.0,0.2316052812404662,0.0009176972998329079,0.2285057123536478,0.2333149614546256,0.0,0.0,0.0
13.0,0.22780838524034758,0.0007989728811536213,0.22510839790098314,0.22930881527570357,0.0,0.0,0.0
14.0,0.22441127421367646,0.0006970570013476999,0.2220537411145041,0.22573514140467765,0.0,0.0,0.0
15.0,0.22138475977952277,0.0006092791324523093,0.21932203243399173,0.2225588518063878,0.0,0.0,0.0
16.0,0.21868961046027507,0.000533465258530917,0.21688171128574485,0.2197360263478273,0.0,0.0,0.0
17.0,0.2162854082950129,0.00046783396870417185,0.2146986247950653,0.2172224755187424,0.0,0.0,0.0
18.0,0.21413446017531174,0.0004109187394116749,0.2127402319676513,0.21497744538100727,0.0,0.0,0.0
19.0,0.21220324366915744,0.0003615080838824355,0.21097726964204855,0.2129649136453704,0.0,0.0,0.0
20.0,0.21046266975853659,0.00031859832887335456,0.20938418528019753,0.2111537401019401,0.0,0.0,0.0
21.0,0.2088878168216949,0.00028135563216558687,0.2079390050138591,0.20952285712158214,0.0,0.0,0.0
22.0,0.2074574627707325,0.00024908490955593323,0.2066229729301735,0.20804425910599111,0.0,0.0,0.0
23.0,0.2061535729209965,0.0002212039425243918,0.20542012531859732,0.2066980000164983,0.0,0.0,0.0
24.0,0.2049608146507226,0.0001972213129686423,0.20431687532878018,0.20546783510324496,0.0,0.0,0.0
25.0,0.20386612657944939,0.00017671710919159737,0.2033016390532837,0.20433994784423654,0.0,0.0,0.0
26.0,0.2028583490271831,0.0001593256782857116,0.20236451234072017,0.20330255189821356,0.0,0.0,0.0
27.0,0.2019279129958864,0.00014472013982836298,0.20149699759473766,0.2023455569372915,0.0,0.0,0.0
28.0,0.2010665811401492,0.00013259892873178708,0.200691775641212,0.20146029078664907,0.0,0.0,0.0
29.0,0.20026723320859235,0.0001226751747226358,0.19994251644999228,0.20063926952720534,0.0,0.0,0.0
30.0,0.19952368872587925,0.0001146699812497394,0.19924372253803108,0.19987600766890912,0.0,0.0,0.0
