index,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,All
Normal — N,159.0,142.0,81.0,74.0,90.0,142.0,83.0,124.0,147.0,1042.0
Normal — RMSE,11.229999542236328,7.929999828338623,7.769999980926514,7.909999847412109,12.130000114440918,8.8100004196167,9.039999961853027,10.569999694824219,10.760000228881836,9.699999809265137
Normal — Std RMSE (bps),5.639999866485596,3.7200000286102295,4.730000019073486,4.210000038146973,3.859999895095825,4.0,5.119999885559082,4.0,4.590000152587891,4.710000038146973
Inverted — N,11.0,22.0,18.0,18.0,,27.0,20.0,3.0,15.0,134.0
Inverted — RMSE,8.199999809265137,13.949999809265137,12.569999694824219,14.619999885559082,,14.779999732971191,13.199999809265137,18.440000534057617,12.34000015258789,13.359999656677246
Inverted — Std RMSE (bps),2.630000114440918,5.25,4.829999923706055,4.960000038146973,,3.0,6.03000020980835,1.5399999618530273,5.400000095367432,4.96999979019165
Negative — N,,,69.0,78.0,80.0,,67.0,,,294.0
Negative — RMSE,,,11.5600004196167,20.049999237060547,12.449999809265137,,9.869999885559082,,,13.670000076293945
Negative — Std RMSE (bps),,,5.699999809265137,12.0600004196167,3.759999990463257,,4.079999923706055,,,8.300000190734863
Inverted + Negative — N,,,,,,,,,,
Inverted + Negative — RMSE,,,,,,,,,,
Inverted + Negative — Std RMSE (bps),,,,,,,,,,
